"","wage","hours","IQ","KWW","educ","exper","tenure","age","married","black","south","urban","sibs","brthord","meduc","feduc"
"389",984,40,108,39,13,17,18,37,1,0,0,1,4,1,15,8
"390",833,60,101,47,12,15,12,37,1,0,0,1,5,2,12,NA
"391",879,70,90,43,12,17,10,35,0,0,0,1,1,2,12,16
"392",1027,45,115,41,12,16,7,35,1,0,0,1,4,3,8,5
"393",1000,55,114,41,16,10,1,33,1,0,1,0,0,1,NA,NA
"394",465,43,84,33,13,10,1,29,1,0,0,1,3,3,11,11
"395",1100,40,92,37,13,21,12,38,1,1,0,1,6,6,12,NA
"396",641,45,125,44,14,9,0,37,1,0,0,1,1,1,12,11
"397",1035,48,107,42,12,21,14,38,1,0,0,1,1,2,11,8
"398",1212,40,129,33,14,9,3,32,0,0,0,1,6,7,8,9
"399",950,40,98,40,12,11,6,30,1,0,0,1,3,4,12,12
"400",938,44,108,41,12,19,20,38,1,0,0,1,0,1,8,NA
"401",1250,40,114,37,16,8,8,30,1,0,0,1,5,3,2,8
"402",586,60,111,37,18,6,10,34,1,0,0,0,3,1,12,11
"403",693,53,101,29,12,7,6,28,1,0,0,0,1,2,12,12
"404",562,40,99,25,12,18,12,34,0,0,0,0,1,1,12,12
"405",375,60,75,24,12,12,5,30,0,0,0,0,4,1,12,8
"406",673,40,91,29,12,7,11,38,1,0,0,0,0,1,6,NA
"407",654,50,113,38,17,1,13,33,1,0,0,0,1,1,12,10
"408",692,50,120,34,12,17,7,35,1,0,0,0,3,4,8,NA
"409",1111,40,98,32,14,10,1,29,1,0,0,1,3,1,12,15
"410",1368,45,107,31,16,11,1,33,1,0,1,1,2,2,16,16
"411",1282,45,121,39,18,7,13,32,1,0,0,1,2,2,12,12
"412",1250,60,115,40,11,19,4,38,1,0,0,1,1,2,NA,NA
"413",1346,40,134,42,15,15,7,35,1,0,0,1,2,1,12,10
"414",1424,50,96,47,17,15,12,37,1,0,0,1,2,3,NA,NA
"415",854,48,120,38,16,8,5,29,0,0,0,1,2,3,12,16
"416",888,50,105,36,15,9,5,32,0,0,0,1,2,2,12,10
"417",1161,50,121,40,12,5,10,34,1,0,0,1,5,6,10,NA
"418",583,58,113,29,16,9,0,30,1,0,0,1,2,2,12,9
"419",1260,45,106,37,12,5,3,29,1,0,0,1,2,1,12,13
"420",947,48,104,41,18,8,13,35,1,0,0,0,3,2,9,12
"421",1850,40,80,23,11,14,15,33,1,0,0,1,3,NA,10,10
"422",1575,40,117,28,12,13,2,30,1,0,0,1,3,3,10,10
"423",758,38,126,42,16,10,8,28,0,0,0,1,2,2,12,12
"424",1442,40,112,42,12,19,15,36,1,0,0,1,3,2,10,8
"425",489,55,104,47,13,20,4,38,1,0,1,1,2,2,NA,NA
"426",1126,40,116,33,12,5,0,31,1,1,0,1,9,5,9,10
"427",1000,40,70,18,12,12,5,32,0,1,0,1,6,NA,8,8
"428",500,70,83,20,12,13,11,32,1,0,0,1,5,1,6,6
"429",1200,50,84,13,12,13,9,32,1,0,0,1,5,2,6,6
"430",565,45,82,30,10,15,3,33,1,0,0,0,4,4,NA,NA
"431",1920,40,109,32,12,13,2,31,1,0,0,0,0,1,12,8
"432",684,45,111,25,14,7,7,29,1,0,0,1,4,1,12,12
"433",774,40,94,33,12,20,4,37,1,0,0,0,1,1,12,7
"434",233,60,96,32,16,7,4,30,1,0,0,0,3,NA,12,8
"435",975,40,101,33,13,12,10,30,1,0,0,0,3,3,12,13
"436",1366,40,90,35,12,13,1,30,1,0,0,1,3,3,12,12
"437",2137,40,120,48,16,16,3,37,1,0,1,1,3,3,12,12
"438",700,40,120,38,16,10,1,29,1,0,1,1,1,1,12,12
"439",1200,40,108,29,12,16,11,33,1,0,0,1,3,2,8,NA
"440",1161,40,99,43,13,16,18,36,1,0,0,1,0,1,12,8
"441",729,60,80,31,11,16,15,34,1,0,0,1,6,1,12,6
"442",750,45,93,45,11,17,2,36,1,0,0,1,1,2,10,5
"443",1026,45,85,46,12,4,16,38,1,0,0,1,1,2,NA,NA
"444",1111,45,118,43,15,11,3,32,1,0,0,1,3,1,11,10
"445",625,50,115,31,12,12,8,31,1,0,0,1,2,3,12,NA
"446",1200,42,119,28,16,11,5,30,1,0,0,1,5,1,10,11
"447",1541,40,94,39,12,8,1,32,1,0,0,1,8,3,12,11
"448",1154,40,109,42,16,12,9,34,1,0,0,1,0,1,13,16
"449",310,40,104,37,13,10,0,33,0,0,0,0,2,1,14,8
"450",610,50,89,21,12,14,4,30,1,0,0,0,1,2,7,6
"451",1749,43,101,28,12,16,17,36,1,0,0,0,2,2,12,8
"452",1000,40,96,34,16,9,1,31,0,0,1,1,4,2,12,7
"453",350,40,109,48,12,14,1,36,1,0,0,0,1,1,9,7
"454",765,45,94,38,12,17,18,37,1,0,0,0,10,6,4,6
"455",790,40,115,34,12,15,2,34,1,0,0,0,6,5,6,5
"456",818,47,92,41,12,16,17,38,1,0,0,0,12,1,8,4
"457",477,60,71,32,9,12,1,30,1,0,0,0,4,2,11,5
"458",938,50,130,39,14,15,1,33,1,0,0,0,3,1,12,11
"459",2099,55,119,38,16,10,4,32,1,0,0,1,0,1,12,12
"460",350,40,74,24,12,14,3,32,1,0,0,1,4,2,10,13
"461",940,48,104,25,12,13,0,32,1,1,0,1,7,2,12,8
"462",1202,40,124,23,15,11,8,28,1,0,0,1,2,2,10,NA
"463",450,40,94,29,15,9,4,31,1,0,0,0,1,1,12,NA
"464",1058,40,120,44,16,16,13,37,1,0,0,0,5,4,12,4
"465",1000,40,96,40,11,15,15,37,1,0,0,1,5,5,8,9
"466",318,40,67,35,12,16,5,36,1,1,1,1,6,NA,7,5
"467",556,40,69,26,11,13,9,34,0,1,0,1,3,NA,8,8
"468",958,60,98,42,12,11,9,28,1,0,0,1,0,1,12,11
"469",995,40,92,23,9,22,13,38,1,1,0,1,7,3,7,4
"470",1600,50,109,44,14,16,5,33,1,0,0,0,2,NA,9,10
"471",606,45,100,39,18,6,5,30,0,0,0,0,1,NA,12,12
"472",511,45,101,25,12,13,1,30,1,0,0,1,4,2,11,12
"473",1411,45,111,40,16,11,12,32,1,0,1,1,1,1,12,9
"474",1346,40,106,38,16,15,11,37,1,0,0,1,1,1,8,14
"475",1522,46,102,37,12,15,16,37,1,0,0,0,3,2,12,10
"476",1075,40,115,28,14,9,10,30,1,0,0,0,2,1,12,10
"477",1200,50,99,37,12,11,11,28,1,0,0,1,5,4,10,8
"478",1377,37,118,48,16,15,1,36,1,0,0,1,2,2,11,10
"479",874,55,132,37,13,8,2,33,1,0,0,0,2,1,13,16
"480",625,40,108,26,13,11,9,30,1,0,0,1,3,NA,12,16
"481",1250,32,98,40,12,17,2,33,1,0,0,1,0,1,14,10
"482",1082,40,111,44,13,20,12,36,1,0,0,1,4,2,8,11
"483",693,40,79,36,11,18,3,38,1,0,0,0,3,2,8,8
"484",727,55,97,29,12,11,11,31,1,0,0,0,3,1,12,11
"485",615,50,99,49,15,16,15,38,1,0,0,0,2,3,12,14
"486",913,40,101,33,16,5,7,31,1,0,0,1,2,3,12,NA
"487",884,46,120,45,17,4,10,36,1,0,0,0,2,1,12,18
"488",698,43,97,33,12,10,4,29,1,0,0,1,2,3,8,8
"489",800,55,106,34,12,17,18,36,1,0,0,0,3,3,8,12
"490",812,40,131,44,16,9,3,30,0,0,0,0,1,1,12,12
"491",1000,40,93,32,11,16,14,34,1,0,0,1,1,NA,12,8
"492",549,49,79,23,12,11,3,32,0,0,0,0,4,2,8,8
"493",1300,35,100,38,12,13,15,31,1,0,0,1,4,2,11,NA
"494",923,50,107,30,16,9,8,33,1,0,0,1,6,4,9,8
"495",1539,40,112,42,12,15,15,32,1,0,0,0,3,1,NA,10
"496",721,40,105,22,12,11,9,30,1,0,0,0,3,2,12,10
"497",815,40,114,25,12,15,14,31,1,0,0,0,2,1,12,10
"498",600,80,116,36,12,20,2,38,1,0,0,0,10,10,8,NA
"499",1100,40,104,41,12,18,7,37,1,0,0,1,2,3,11,13
"500",1058,40,85,48,12,18,19,35,1,0,0,1,2,1,9,12
"501",962,40,93,46,12,15,1,30,1,0,0,1,2,2,9,12
"502",433,50,100,40,12,5,9,37,1,0,0,0,2,2,8,7
"503",940,40,71,20,11,9,2,29,1,0,0,0,2,3,NA,NA
"504",1417,38,88,36,16,9,10,32,0,0,0,1,2,1,12,12
"505",1000,65,93,32,12,11,9,29,1,0,0,1,7,1,12,8
"506",500,40,98,26,13,14,5,32,1,0,0,0,3,4,12,8
"507",800,50,110,35,14,8,5,28,1,0,0,1,3,4,12,10
"508",766,40,109,31,12,17,18,35,1,0,0,0,4,3,NA,6
"509",750,43,94,38,14,12,10,33,1,0,0,0,1,1,11,12
"510",550,40,77,36,12,15,2,37,1,0,0,0,6,3,8,8
"511",795,52,89,35,11,16,4,34,1,0,0,1,6,1,NA,NA
"512",723,40,102,44,12,12,10,30,1,0,0,1,10,6,12,6
"513",1039,40,113,49,14,12,8,34,1,0,0,1,1,2,16,14
"514",200,55,103,38,10,11,15,32,1,0,1,1,3,2,12,5
"515",400,40,90,36,10,12,1,32,1,1,0,1,5,3,8,NA
"516",575,40,96,31,11,17,1,35,1,0,1,1,2,1,12,7
"517",850,40,97,35,11,16,5,37,1,0,1,1,1,1,12,6
"518",508,50,87,35,12,16,1,32,1,1,1,1,2,1,10,NA
"519",1162,45,89,39,12,11,4,37,1,0,1,1,3,3,15,NA
"520",1199,43,70,28,13,13,5,30,1,1,1,1,3,1,8,NA
"521",1270,40,104,34,16,8,4,31,1,0,1,1,3,4,16,17
"522",350,45,116,36,16,5,3,33,1,0,1,1,2,2,11,12
"523",963,40,85,32,14,9,9,28,1,1,1,1,5,1,7,NA
"524",1463,45,104,47,15,14,11,37,1,0,1,1,3,4,12,12
"525",802,40,99,26,12,13,12,29,1,1,1,1,8,6,9,12
"526",642,45,93,18,12,12,7,30,1,1,1,1,1,2,6,6
"527",751,40,114,37,13,9,2,28,1,0,1,1,2,2,12,10
"528",488,40,103,40,17,5,3,31,1,0,1,1,1,NA,12,16
"529",1400,40,92,34,12,15,5,36,1,0,1,1,2,1,6,2
"530",940,45,98,41,18,10,7,31,1,0,1,1,2,2,8,12
"531",866,40,114,48,13,15,16,37,1,0,1,1,3,1,12,NA
"532",675,40,77,42,12,20,4,38,1,1,1,1,5,2,12,6
"533",375,40,89,24,14,9,3,30,1,1,1,1,3,1,13,NA
"534",325,40,93,44,14,10,1,33,1,1,1,1,1,NA,16,NA
"535",346,40,110,37,12,16,17,38,1,0,1,1,2,NA,12,5
"536",1442,40,132,39,17,8,1,33,1,0,1,1,3,1,8,12
"537",560,49,112,37,16,13,2,32,1,0,1,0,3,1,8,2
"538",550,56,99,42,12,17,11,36,1,0,1,1,1,2,12,12
"539",950,44,96,26,16,8,10,32,1,1,1,1,1,2,10,NA
"540",684,45,106,45,13,16,2,38,1,0,1,1,1,1,12,14
"541",1322,40,128,43,16,7,1,33,1,0,1,1,0,1,18,NA
"542",1634,40,95,48,12,18,3,38,1,0,1,1,3,3,NA,3
"543",417,40,80,30,12,8,0,30,0,0,1,1,3,4,8,7
"544",472,45,71,24,11,9,0,32,1,0,1,1,13,6,6,6
"545",666,50,89,28,12,16,1,34,1,1,1,1,6,1,9,NA
"546",1679,55,127,45,18,10,3,32,1,0,1,1,1,2,12,16
"547",1039,40,114,43,16,1,9,31,0,0,1,1,6,5,8,8
"548",1250,40,102,30,13,13,11,30,1,0,1,1,5,6,7,NA
"549",760,40,88,34,12,12,15,31,1,0,1,1,2,1,12,7
"550",1154,42,88,32,12,14,12,29,1,0,1,1,2,2,12,7
"551",1602,60,110,45,15,14,1,37,1,0,0,1,5,1,14,12
"552",1442,40,110,40,13,13,13,29,1,1,1,1,1,2,7,9
"553",865,40,130,39,16,5,3,30,1,0,0,1,4,2,8,12
"554",705,50,100,44,12,15,12,36,1,0,1,1,1,2,NA,NA
"555",1000,40,101,36,12,16,1,35,1,0,1,1,1,1,12,NA
"556",852,44,89,36,10,13,9,32,1,0,1,1,6,7,9,NA
"557",770,40,80,25,12,16,14,35,1,0,0,1,1,2,12,12
"558",1000,40,72,20,12,16,9,34,1,0,0,1,3,4,12,12
"559",1329,55,115,56,18,10,5,36,1,0,0,1,1,1,12,12
"560",1682,40,115,48,16,10,4,37,1,0,1,1,1,2,12,17
"561",577,55,108,47,16,4,0,31,1,1,1,1,2,2,8,8
"562",685,40,93,27,12,17,7,38,0,0,1,1,6,6,8,3
"563",577,40,111,37,16,8,8,29,0,1,1,1,1,1,18,18
"564",1040,40,101,38,12,19,9,38,1,1,1,1,6,1,11,12
"565",1250,40,92,42,16,10,11,32,0,0,1,1,1,1,12,10
"566",600,40,115,40,13,7,7,28,0,0,1,1,4,5,5,NA
"567",480,40,76,29,12,17,3,35,0,1,1,1,8,5,11,10
"568",1000,40,93,26,11,11,0,29,1,0,1,1,5,3,12,12
"569",988,48,91,39,12,15,15,36,1,0,1,1,1,2,8,8
"570",478,45,90,35,10,19,10,34,1,0,1,1,2,1,9,9
"571",440,40,84,23,12,11,2,30,1,1,1,1,5,3,9,4
"572",485,40,120,43,12,11,1,30,1,1,1,1,6,6,NA,NA
"573",705,40,89,32,9,19,0,36,1,1,1,1,0,1,NA,NA
"574",1550,40,104,47,12,16,1,34,1,0,1,0,8,4,9,10
"575",960,40,107,23,12,11,9,29,1,1,1,1,11,2,6,9
"576",1000,40,100,42,12,16,14,32,1,0,1,1,2,3,12,12
"577",625,40,129,40,18,4,5,36,1,0,1,0,3,1,15,15
"578",1346,40,112,39,16,14,14,35,1,0,0,1,0,1,12,16
"579",961,40,76,17,12,13,13,31,0,1,0,1,13,5,NA,8
"580",479,40,97,45,12,15,1,38,1,0,1,0,3,4,NA,NA
"581",1201,50,98,38,11,17,16,36,1,0,1,0,4,5,11,2
"582",1346,45,60,34,16,8,2,31,1,0,1,1,2,3,NA,NA
"583",1122,35,132,45,18,13,8,32,1,0,1,1,2,3,12,7
"584",543,45,90,31,14,5,7,38,1,1,1,1,1,2,6,NA
"585",450,40,63,26,11,12,4,31,1,1,1,1,7,2,7,NA
"586",507,55,110,36,14,10,4,32,1,0,1,1,2,2,13,16
"587",547,60,88,38,11,17,5,34,1,0,1,1,4,5,NA,NA
"588",586,56,98,41,11,18,16,35,1,0,1,1,2,2,NA,6
"589",462,55,61,24,12,6,4,29,1,1,1,0,9,NA,8,3
"590",705,40,76,32,12,13,8,37,1,1,0,1,5,NA,NA,NA
"591",1566,40,127,44,12,7,1,29,1,0,0,1,3,2,11,NA
"592",1634,40,94,39,13,18,18,36,1,0,1,1,2,2,8,8
"593",1282,45,97,48,16,4,1,32,1,0,0,1,11,3,16,16
"594",556,40,127,44,16,6,2,31,1,1,1,1,2,1,12,12
"595",1200,40,109,42,15,7,8,33,1,0,0,1,2,1,11,12
"596",855,45,89,21,12,6,6,31,1,0,1,0,4,3,3,3
"597",1053,40,90,33,12,18,7,37,1,0,1,0,1,1,11,11
"598",1000,48,105,39,12,11,4,28,1,0,1,0,0,1,12,7
"599",900,55,100,27,12,18,5,34,0,0,0,1,2,2,8,NA
"600",1602,45,111,40,16,10,10,31,1,0,1,0,1,NA,16,12
"601",508,50,125,44,17,9,2,31,1,0,1,1,3,1,16,13
"602",1500,60,124,20,16,6,6,29,1,0,1,0,2,NA,12,10
"603",1682,50,107,41,14,15,9,32,1,0,1,1,0,1,12,12
"604",750,40,110,45,13,13,1,35,1,0,1,1,2,NA,12,16
"605",843,40,102,32,14,8,7,29,1,0,1,0,1,1,16,16
"606",409,40,93,26,12,17,18,38,0,0,1,0,0,1,NA,NA
"607",1004,40,81,36,12,17,15,34,1,0,1,0,1,1,12,NA
"608",650,40,99,36,12,13,10,30,1,0,1,0,1,2,12,10
"609",808,40,93,26,12,17,9,37,1,1,1,0,4,1,NA,NA
"610",2137,45,102,35,13,8,2,30,1,0,1,0,0,1,12,12
"611",761,48,95,44,12,14,21,38,1,0,1,1,1,1,12,5
"612",769,40,98,37,16,8,3,35,0,0,1,1,0,1,11,8
"613",345,40,84,28,12,7,8,31,1,1,1,1,2,2,NA,NA
"614",495,40,88,30,12,6,10,31,1,0,1,1,2,1,NA,7
"615",987,38,109,41,16,9,3,31,1,0,1,1,3,4,4,NA
"616",2500,60,82,41,12,21,1,38,1,0,1,0,3,3,8,5
"617",1098,45,105,22,14,6,1,32,0,0,1,1,1,2,12,NA
"618",1212,40,95,36,12,6,16,38,1,0,1,0,3,1,12,8
"619",577,40,92,33,15,8,1,28,1,1,1,1,1,2,10,7
"620",390,59,74,26,15,10,3,30,1,1,1,1,3,3,7,6
"621",1500,40,123,43,16,9,12,32,1,0,1,1,1,1,12,14
"622",583,80,86,24,12,9,1,30,1,0,1,1,2,2,12,12
"623",460,40,92,22,11,16,1,36,1,0,1,1,5,6,NA,NA
"624",945,40,87,41,12,12,13,38,1,0,1,1,2,2,8,NA
"625",1442,60,117,39,16,9,3,31,1,0,1,1,1,2,12,10
"626",1333,45,112,50,16,14,8,38,1,0,1,1,1,2,12,4
"627",1500,37,119,41,15,8,5,33,0,0,0,1,1,1,12,18
"628",1333,45,103,30,16,7,1,34,1,0,0,1,3,1,NA,NA
"629",700,40,74,29,12,16,4,36,1,1,1,1,3,NA,9,NA
"630",973,36,81,33,13,11,5,32,1,0,1,1,0,1,6,9
"631",2162,40,124,48,18,10,8,32,1,0,1,1,1,1,10,10
"632",797,41,89,38,12,10,7,36,1,0,1,0,1,2,7,8
"633",400,40,88,34,12,14,1,32,1,1,1,1,7,7,7,6
"634",1015,40,67,31,12,15,11,32,1,1,0,1,3,2,9,5
"635",1744,43,106,41,16,8,9,29,1,0,1,1,1,1,12,16
"636",630,40,103,30,15,14,2,32,1,0,1,0,0,1,11,5
"637",445,40,91,40,12,11,4,32,1,0,1,0,0,1,6,8
"638",660,42,101,34,16,12,9,31,1,0,1,1,0,1,12,12
"639",779,40,85,30,12,14,7,37,1,1,1,1,7,4,12,NA
"640",377,40,83,32,12,9,1,36,0,0,1,1,1,1,12,12
"641",560,44,70,34,12,16,11,35,1,1,1,1,2,1,8,NA
"642",1122,60,102,54,17,7,13,32,1,0,1,1,2,2,12,11
"643",453,50,94,34,12,9,2,30,1,0,1,0,6,4,7,7
"644",1386,40,97,38,10,17,9,37,1,0,1,1,1,2,12,8
"645",1539,40,115,38,17,7,9,31,1,0,1,1,2,1,12,16
"646",1154,40,117,38,16,11,12,35,1,0,1,1,5,5,17,18
"647",962,50,105,45,14,15,2,37,1,0,1,1,3,4,8,4
"648",722,55,113,36,16,8,1,38,0,0,1,1,1,2,8,NA
"649",480,40,83,37,12,9,3,37,1,0,1,1,4,3,10,11
"650",808,50,101,44,18,8,9,38,1,0,1,0,3,2,17,12
"651",1442,40,113,36,13,14,8,36,1,0,1,1,2,1,12,12
"652",1091,50,88,31,13,13,4,37,1,0,0,1,4,1,12,NA
"653",350,40,93,41,12,16,0,33,0,1,1,1,1,1,12,NA
"654",500,40,83,39,12,18,11,36,1,1,1,1,0,1,7,NA
"655",1026,45,113,27,16,9,13,30,1,0,1,1,2,2,16,14
"656",577,40,106,43,17,11,7,33,0,1,1,1,3,2,13,16
"657",1333,60,106,38,15,5,1,30,1,0,1,1,2,2,12,12
"658",915,55,114,36,12,17,9,37,1,0,0,1,1,NA,10,NA
"659",1105,40,119,32,16,9,10,30,0,0,1,1,5,1,11,10
"660",910,40,82,26,14,5,5,30,1,1,1,1,10,NA,9,3
"661",1000,40,89,40,12,17,8,38,1,0,1,1,7,7,1,4
"662",1160,40,74,18,12,14,1,33,1,1,1,1,9,6,3,4
"663",1001,34,77,22,12,12,3,29,1,1,1,1,9,8,3,4
"664",713,40,75,25,12,5,12,36,1,1,1,1,7,4,NA,NA
"665",929,40,97,28,13,12,5,30,1,0,1,1,2,1,12,12
"666",400,50,68,35,12,4,9,31,1,1,1,1,6,1,6,2
"667",1241,40,83,51,13,9,10,33,1,0,1,1,2,3,12,12
"668",1065,40,97,40,12,21,10,36,1,0,1,1,1,1,12,NA
"669",403,45,98,37,12,5,3,30,1,0,1,1,2,NA,12,12
"670",940,45,102,30,13,15,12,30,1,1,1,1,2,2,NA,NA
"671",812,40,81,20,10,17,13,34,1,1,1,1,2,2,8,3
"672",700,20,85,27,10,13,0,35,1,1,1,1,3,NA,6,10
"673",575,40,86,20,10,12,6,33,1,1,1,1,8,NA,NA,NA
"674",450,40,79,23,10,20,5,36,1,1,1,1,7,6,12,12
"675",621,43,84,24,12,14,10,31,1,0,1,0,4,3,8,6
"676",441,38,74,24,12,12,11,30,1,0,1,0,4,4,8,6
"677",625,40,92,25,16,6,9,33,1,1,1,0,11,1,NA,NA
"678",726,45,93,32,12,16,5,36,1,0,1,0,5,2,6,NA
"679",500,40,69,18,9,21,13,38,1,1,1,1,8,6,6,NA
"680",1000,44,113,41,17,8,2,34,1,0,1,1,4,1,17,18
"681",393,48,92,37,12,15,16,38,1,0,1,1,1,1,8,7
"682",600,40,127,44,12,8,3,28,0,0,1,0,2,2,9,12
"683",962,50,109,44,12,21,12,37,1,0,1,0,0,1,6,NA
"684",962,40,97,42,12,15,4,34,1,0,1,0,5,1,10,8
"685",865,40,66,30,11,10,7,30,1,0,0,1,14,4,0,10
"686",1154,50,109,46,16,10,3,35,1,0,1,1,2,1,16,14
"687",1386,42,109,43,16,10,11,34,1,0,1,0,1,1,4,14
"688",732,40,104,36,12,10,7,36,1,0,1,1,1,2,NA,NA
"689",865,40,85,44,13,4,9,34,1,0,1,1,3,3,8,8
"690",700,40,81,26,12,13,13,31,1,0,1,0,5,6,8,4
"691",975,40,87,12,9,20,10,37,1,0,1,0,3,NA,5,4
"692",1300,40,78,40,13,12,3,33,1,0,1,1,2,3,12,12
"693",900,40,54,37,14,12,3,31,1,0,1,1,2,1,12,12
"694",829,40,98,33,12,15,15,36,1,0,0,1,4,5,8,8
"695",1000,40,98,34,12,17,13,36,1,0,1,1,3,NA,12,NA
"696",827,40,105,29,16,7,8,30,1,0,0,1,2,1,16,12
"697",500,44,87,25,13,5,2,31,1,0,1,1,7,NA,12,NA
"698",1155,40,117,25,13,9,1,28,1,0,0,1,3,2,12,12
"699",950,55,85,30,15,8,3,29,0,0,0,1,2,NA,12,12
"700",700,40,82,35,13,10,4,30,1,0,0,1,4,5,8,NA
"701",1710,45,114,39,18,7,6,32,1,0,0,1,1,1,12,NA
"702",533,30,65,21,12,5,1,32,0,1,0,1,5,1,11,12
"703",2004,48,105,48,18,10,0,34,1,0,0,1,2,1,12,12
"704",890,60,92,20,14,9,8,32,1,0,0,1,1,2,7,7
"705",3078,30,107,23,13,11,4,29,1,0,0,1,2,2,12,12
"706",1539,40,111,41,17,10,13,37,1,0,0,1,3,2,12,16
"707",508,40,73,38,12,1,1,31,1,1,0,1,1,NA,NA,NA
"708",1354,40,119,49,17,13,9,35,0,0,0,0,2,1,16,16
"709",1143,35,97,40,12,21,8,38,1,0,0,1,5,1,12,12
"710",962,40,110,34,12,16,8,33,1,0,0,1,2,1,10,10
"711",1250,44,96,32,12,19,20,38,1,0,0,1,2,1,12,12
"712",990,40,67,23,12,16,3,34,1,1,0,1,2,1,8,8
"713",905,40,102,31,12,17,4,37,1,0,0,0,5,5,12,12
"714",926,55,64,22,12,18,0,38,1,0,0,1,4,5,0,2
"715",1559,40,103,32,12,17,10,34,1,0,0,1,3,4,8,8
"716",1312,40,118,39,10,14,4,32,1,0,0,1,0,1,12,8
"717",923,40,118,36,14,8,16,35,1,1,0,1,5,1,7,NA
"718",879,40,118,41,18,1,9,31,1,0,0,1,1,2,13,13
"719",800,25,75,37,13,14,1,38,1,0,1,1,0,1,12,10
"720",1049,50,112,45,14,6,10,32,1,0,0,0,3,3,12,10
"721",550,40,95,20,12,4,1,30,0,0,0,0,3,4,12,10
"722",1190,40,119,38,17,4,2,34,1,0,0,1,0,1,12,14
"723",583,48,94,35,14,10,6,37,1,0,0,0,2,1,12,12
"724",1200,40,103,27,14,5,2,30,1,0,0,1,1,1,6,7
"725",797,55,90,36,16,11,5,33,1,0,0,1,5,2,14,17
"726",1371,40,128,50,18,8,13,36,1,0,0,0,1,2,16,12
"727",360,55,110,44,13,11,1,38,0,1,0,1,4,NA,12,8
"728",1270,40,84,40,12,11,12,30,1,0,0,1,2,2,12,12
"729",1832,40,97,38,12,16,1,36,1,0,0,1,1,2,8,12
"730",909,40,102,34,12,14,5,33,1,0,0,1,3,3,12,7
"731",1746,40,131,41,18,9,10,33,1,0,0,1,7,3,12,12
"732",520,40,126,23,16,8,1,30,1,0,0,1,7,5,12,12
"733",808,40,107,32,16,6,7,29,1,0,0,0,7,6,12,12
"734",2137,45,108,45,16,11,2,36,1,0,0,1,2,3,12,NA
"735",692,50,92,49,15,9,3,38,1,1,0,1,0,1,8,8
"736",931,80,108,40,16,4,1,36,1,0,0,1,4,2,12,12
"737",812,45,115,46,16,11,3,34,1,0,0,1,1,2,12,8
"738",866,40,111,44,14,16,14,35,1,0,0,1,1,1,12,12
"739",1442,40,115,47,12,14,9,36,1,0,0,1,7,5,12,12
"740",500,40,101,31,14,12,0,32,1,0,0,0,2,2,11,6
"741",1384,50,114,48,18,12,2,37,1,0,0,1,1,1,12,13
"742",528,55,116,40,18,5,9,30,1,0,0,1,4,5,12,12
"743",881,40,90,41,12,4,14,36,1,0,0,0,2,3,12,NA
"744",1026,45,125,33,12,11,11,28,1,0,0,1,3,1,14,17
"745",1212,40,98,26,12,11,12,28,0,0,0,1,4,NA,12,10
"746",1620,38,111,42,15,8,5,29,1,0,0,0,1,2,10,NA
"747",1843,48,109,38,16,11,2,32,1,0,0,1,3,2,12,NA
"748",1602,60,124,36,16,12,2,37,1,0,0,1,1,2,12,12
"749",1000,40,121,35,13,6,1,33,1,0,0,1,2,2,8,14
"750",737,48,103,37,12,7,4,30,1,0,0,1,4,4,10,NA
"751",1699,40,96,19,12,10,1,29,0,0,1,1,2,3,12,12
"752",1699,40,100,40,12,11,9,33,1,0,0,1,1,2,12,8
"753",1025,48,104,30,14,6,5,32,1,0,0,1,2,3,NA,12
"754",1107,40,112,38,12,12,5,38,1,0,0,1,5,3,11,12
"755",625,40,73,24,11,1,1,31,1,0,0,1,3,4,12,12
"756",720,50,101,39,13,1,7,29,1,0,0,1,4,2,11,11
"757",855,40,99,44,12,19,10,36,1,0,0,1,1,2,12,12
"758",1250,40,95,23,12,12,2,32,1,0,0,1,2,2,12,12
"759",1130,40,109,40,18,4,13,38,1,0,0,0,1,2,18,15
"760",900,40,110,35,12,6,1,28,0,0,0,1,1,NA,13,13
"761",1924,50,98,49,17,6,7,38,1,0,0,1,1,1,4,NA
"762",962,40,112,46,15,8,2,37,1,0,0,1,2,1,12,16
"763",1874,48,64,37,11,22,3,38,1,1,0,1,7,NA,NA,NA
"764",1573,55,90,28,12,5,3,30,1,0,0,1,4,3,11,8
"765",940,45,102,46,14,11,7,36,1,0,0,1,1,2,12,10
"766",900,40,119,39,16,8,9,30,1,0,0,0,1,2,12,12
"767",882,44,96,34,12,15,13,31,1,0,0,0,6,3,8,10
"768",1710,45,118,40,18,12,12,38,1,0,0,1,1,1,12,12
"769",1260,45,79,39,12,19,15,37,1,0,0,0,3,2,9,8
"770",751,40,96,42,12,9,7,38,1,0,0,0,1,1,10,8
"771",1097,50,80,27,11,12,12,28,1,0,0,0,5,1,12,11
"772",1001,48,137,36,13,11,11,33,1,0,0,0,5,6,12,NA
"773",1154,40,116,42,15,11,12,34,0,0,0,0,2,1,12,9
"774",1000,43,69,31,12,15,16,35,1,0,0,1,4,4,12,8
"775",1250,40,78,36,12,16,3,33,1,0,0,1,9,NA,6,2
"776",857,65,99,41,12,18,3,38,1,0,1,1,2,1,8,8
"777",1211,27,92,33,12,13,3,31,1,0,0,1,3,2,16,12
